Review,Rank,Year
"This is a really terrific thriller. There is a lot going on, and you need to bring your attention span, but the reward will be great if you do. Matt Damon plays Tom Ripley. Ripley is an intentionally ambiguous character who uses his many ""talents"" to dig himself into deeper and deeper trouble as he attempts to infiltrate high society. Damon really began to distance himself from boyhood chum Ben Affleck with this role originally intended for Tom Cruise.",10,2007
"A small-scale imposter / con man, making the rounds in 1950s New York, gets caught up in something much greater than his usual scam and decides to let it ride, if just to see where he winds up. In this case the answer is Italy, gorgeous vestige of the old world with just a few hints of the modern one, where he's tasked with convincing a flippant trust funder to return from a perpetual, fortune-draining holiday. That mission quickly goes by the wayside, just as soon as he realizes how much easier life is in the lap of luxury, and he merely exacerbates said money-letting as the wealthy playboy's new wingman. When things take a turn for the messy, though, his welcome worn thin and nothing to show for it but bittersweet memories, a panicked string of responses sends the entire comfortable lifestyle into a tailspin. At its root, Ripley is an example of how fear and rejection can press a normally smart, affable person over the brink into monstrosity, a surprise considering the playful tone of the first act. Matt Damon, still fresh from his breakout in 1997's Good Will Hunting, shows great versatility in the leading role (essential for such a complicated character), smoothly masking that twitch in his eye from all but the viewing audience. It's one of those films where you'll feel wrong about your rooting interest, knowing all along that the guy absolutely does not deserve a happy ending, with the final moments serving as your comeuppance.",8,2017
The Miramax Oscar hype is on and you are their pigeon!,4,2000
"I still don't quite understand why ""GQ"" never conquered the box office. The movie is clever, hysterically funny, surprisingly moving and, as one reviewer pointed out, more respectful of (and better at communicating) the ideals of ""Star Trek"" than any of the recent ""Trek"" movies or television incarnations. The script is inventive, the special effects are vivid and powerful (especially when the actors see the real ship for the first time, and when the rock monster rampages through the ship), and the characters are incredibly well drawn.",9,2004
"I generally rate films highly based on how often and how much I'd like to watch them again. I can watch most films more than once, but only a few have the necessary qualities to watch over and over again. Comedy films are never that high on my list of ""watch agains"". After seeing a joke or comic scene once, it's hard for it to have the same impact again and again. I well recall being in tears of laughter when I first saw Airplane at the cinema. But now I find it hard going and even the inflatable pilot only raises a smile.",10,2002
"'Galaxy Quest' couldn't be better. It's not a mockumentary, it's not a Star Trek parody. It's pure comedy based on the Star Trek legend with excellent actors and absolutely brilliant production.",10,2002
"This film was amazing.  I saw the trailers and swore I'd never watch it. A couple of friends overruled this after watching it in the theaters, and I'm glad they did.",10,2001
"There are very few comedies out there that manage to get laughs from all of the jokes; ""Galaxy Quest"" is one of the few films that pretty much gets them all.",9,2004
"""Galaxy Quest"" is an excellent feel good comedy that's enjoyable for the entire family.",9,2004
"A beautifully-crafted film, Galaxy Quest is a love letter to sf fans of all sorts everywhere. The characters are perfectly drawn, the story is well-written, and there's the right amount of goshwow to make the whole thing work perfectly. And it's funny as hell in all the right spots.",10,2002
"The first thing that makes a good movie good is always a great story. The whole idea of actors from a long ago space series being mistaken for being the real deal by actual aliens is indeed ingenious.From there, you put together a top notch cast.They hit the nail on the head there. Tim Allen is a natural for the Jason Nesmith role.A great cast is nothing if they don't work well together.Not to worry.They are superb. This movie is an excellent twist on the old good vs.evil concept.There are movies whose ideas are so unique,you want to love them and not be disappointed.Take my word,Galaxy Quest delivers the goods.Warp speed!",9,2002
"This is what I would call a PERFECT film. As a long-time Star Trek fan I have waited for a movie which had that total feelgood factor, not a spoof, but a humourous and heartfelt homage.  A film which shows fans in a good light, in a way that, of course, we can laugh at ourselves, but in an unoffensive and entertaining manner. I never thought it would arrive, and so in GALAXY QUEST, I found one of the best films in cinema history. Everything is spot on.  The story is fantastic, and telling it from the point of view of normal people was great.  Making them play those stereotypes that we know and love was just the tip of the iceberg, and everyone played the parts superbly. The special effects speak for themselves.  When the Protector leaves space dock...Wow.   When she goes through the minefield...Wow!  When Tim Allen faces the biggest rock monster since The Never Ending Story...Wow Wow WOW! The score is also great, capturing the adventure of the old Star Trek shows, and the epic scope of the story at hand. And then there's the way everything just comes together at the end into a sensational package of laughs, thrills, sometimes bitingly moving scenes, and a genuine feeling of warmth inside. Go and see this, buy the DVD, whatever.  Just see it. Never give up, and never surrender!",10,2000
"A set of hammy TV actors turn up for a sci-fi convention only to be met by real aliens who, having only seen them on TV, mistake them for a real space crew.",7,2002
GALAXY QUEST (1999) ***1/2,8,2000
It's hard to imagine how this movie could have been improved upon.,10,2005
"I'm rating this with a 10. The reason is simple - never before have I seen a parodying comedy that works without vomit, urinal and fecal jokes, a parodying comedy that doesn't need to make fun of George WC Bush.",10,2007
"Having a husband, who is a huge Star Trek nut, helped me sympathize with this hilarious film. After having been to half a dozen conventions in glory to this campy old sci-fi show, I have to say that this movie manages to target PERFECTLY every strange quirk and idiosyncrasy which surrounds ""fan boy"" groups.",10,2005
"I like a good spoof/comedy movie when it is done right. As far as spoof movies go though, there are those that are really unfunny and a waste of time which applies to 2001:A Space Travesty and anything by Friedberg and Seltzer. There is also the kind that has hit and miss moments but reasonably entertaining, Spaceballs in my opinions belongs under this category. And there is the spoof that work on every level, of which Young Frankenstein and this underrated gem Galaxy Quest fits like a glove.",10,2011
"SPOILERS ""Star Trek"" is a worldwide phenomenon. Watched by millions around the globe, the many series own a gigantic following and some of the most obsessive fans going. With regular conventions full of fans in costume, the whole Trek universe is one long opportunity for ridicule. In 1999 therefore, we were finally given a film which does it justice. Both spoofing the obsession as well as paying tribute to it, ""Galaxy Quest"" is a hilarious, under rated movie with an amazing comedy cast and some magnificent scenes.",9,2005
"A long time ago, I read a very entertaining & humorous short story in a book collection of Star Trek stories by fan authors, a whimsical piece about how several of the real Trek actors, such as Shatner & Nimoy, get zapped into the Trek universe, as if it was real, and are forced to enact their TV roles in a real setting. This movie captures that whimsy and is very entertaining, as a result. It begins rather mundanely - on purpose - during a standard science fiction convention, in which several actors, whose careers nosedived after starring in a canceled sci-fi TV show, are relegated to these cheesy appearances, signing autographs and hiding their disgust at what they've been reduced to. Well, except Tim Allen, who starts off very cheery until he has some ice water thrown in his face, a surprisingly effective moment. All the actors playing the actors fill out their roles very well. Tim Allen used to be the Capt.Kirk-type commander on the TV show; Weaver played his communications officer, like Uhura, and always repeated computer statements; Rickman was the alien doctor; Shalhoub was the Scotty-like tech man below decks; Mitchell was the pilot, like Sulu. Rockwell ends up along for the ride, even though he only appeared in one episode, as an expendable crewman.",8,2005
"Even though it's a comedy, it out-Treks almost all of the Star Trek films, with a better plot and better writing. The laughs are continuous and the dramatic elements are quite good.",9,2006
"Galaxy Quest isn't groundbreaking, but it's a charming and instantly likeable spoof on space dramas like Star Trek. With Tim Allen, Sigourney Weaver and Alan Rickman in the leads you just know this will be good. The three leads make the movie consistently enjoyable and as they are good comedians, they bring in a lot of fresh and funny (if not light-hearted) material. ",10,2003
"I'd forgotten how good Galaxy Quest is until I caught it tonight on television, the first time I'd seen it since it was originally out in the cinemas. As other reviewers have said, it carries off an astonishing balancing act that manages to hit all the right notes, combining laugh-out-loud comedy with some genuinely moving scenes that could easily have teetered over into schmaltz.",8,2006
"Galaxy Quest is one of the best science fiction comedy I have ever seen. Even if you're not a science fiction fan, and/or a comedy fan, it is so brilliantly written, filmed and played, that you will laugh and enjoy yourself watching it. Fans of Star Trek with a good sense of humor can only love it. ",9,2005
This is a great movie on many levels.,9,2004
"I just saw Toy Story 2 an hour ago and I must say that, despite all the great reviews, I was still surprised about the quality....It started absolutely marvellous; one of the greatest and humorous opening sequences ever. The plot is really smart, the animation is brilliant and the humor...Oh man! The last 50 minutes must be the most fun 50 minutes I had in years and believe me, I'm NOT exaggerating. It seems impossible to imagine the fun the writers must have had, because this is a true film-fest whether you do like  Disney-esque films or don't.",9,2000
"The first Toy Story was largely confined to little Andy's room and his dreaded neighbor's house.  When we pick up the story in ""Toy Story 2,"" Buzz Lightyear is in outer space where he meets his arch-nemesis, Emperor Zurg. In a cheeky opening, the rules devised by Lasseter and his Pixar staff are laid out:  There are no rules.",9,2000
"This has to be by far one of the cleanest and most well-designed movie to come from any studio for a while now. The plot is trim and concise and this film is not just for kids, there are plenty of grown-up themes to satisfy even critical viewers. The animation is tremendous, especially if you pay attention to the details, and the cameo from Geri and the underlying Star Wars spoofs are just great. All in all, one of the best films I've seen to date. Just one disappointment, no outtakes during the credits. But still, I don't think I'll forget this one for a while, if you get a chance to see it in the cinemas don't miss it...",10,1999
"PIXAR has done the impossible, and significantly improved on their original groundbreaking film Toy Story. Not only is the movie hysterically funny, but every time I thought I knew where the plot was headed something completely new and original was thrown into the mix. One minute I'm laughing hysterically at ""Tour Guide"" Barbie, the next I'm nearly brought to tears watching a sequence where Emily grows up and leaves Jessie behind.",10,1999
TOY STORY 2 (1999) ***1/2,9,2000
"Well it's a sequel, and I watched with trepidation, and glad to say I enjoyed every minute of this, it was good to see the voices of all the characters still voiced by the original actors/actresses, as well as welcoming new characters 'Stinky Pete the Prospector' and the Round-up gang, as well as a nemesis for Buzz !  Some very 'tounge in cheek' movie gags (Jurassic Park and Star Wars to name but two).  I would hope in years to come to see more quality productions like this.",10,2000
"This film is definitely a pleasure and a joy to see, a very well done sequel.  I wouldn't be surprised if it would spawn yet another sequel, raising the bar even more for computer animation, such as this film has done.  Toy Story 2 looks even more lifelike and realistic than its original, I found myself several times 'forgetting' that it was computer animation. Definitely a must see for all ages.",10,1999
"I thought the original Toy Story was great.  I went to this movie hardly knowing anything about it.  Toy Story 2 exceeded my expectations; it's better than the original Toy Story.  This movie works on two levels.  It's aimed at younger kids, who will love the wackiness of the characters and the situations they find themselves in, though some of the jokes might sail over their heads (but they'll laugh anyway).  It's also aimed at adults, who, when I saw it, laughed louder than the kids at some points.  The voice work is excellent, especially Tom Hanks and Tim Allen, reprising their roles from the original.  The supporting toys (Mr. Potato Head, Slinky Dog, et al.) have much bigger roles this time around.",10,1999
"Here's yet one more sequel that more than lived up to its original great start. The first Toy Story was outstanding. This is just as good, if not better.",10,2006
"When Woody is stolen by a toy collector, Woody learns his background and discovers he was part of the round up gang, with other toys named Jessie, Stinky Pete and his trusty steed Bullseye, he is all set to become part of very rare toy collection in a museum. But Buzz, Hamm, Rex and Slinky Dog have other ideas, as they mount a rescue of huge proportions.",8,2005
"When i saw this movie i was bored as hell, partly because i was forced to watch it. This movie is highly overrated. It's like a spoof to star wars but then spaceballs was better. The jokes are not that funny, and the story line is not that good either, even my 9 year old brother was bored, i am usually a fan of serious movies, but i often like movies like Chicken Run, now thats a movie. This movie was nothing much than a bunch of stolen ideas, with stupid unfunny characters which ruined it for me. Trust me this one is not worth it. 6/10 just because of Tom Hanks.",6,2001
"OK, am I the only one who thinks that Joan Cusack is one of the biggest casting mistakes in all of animated movie history? Her voice is screechy, whining, grating and unconvincing as a cartoon character. Why the studios thought she would be good as a ""voice"" mystifies me. She spoiled this movie the first time I ever saw it because her range as a ""cartoon voice"" is non-existent. Even Tom Hanks' voice in this sequel is sometimes annoying and grating, but Cusack as a cartoon character just does not work! Cusack is fine as a leading lady when she is not playing in a cartoon.",5,2008
"There are few sequels that can equal or even surpass its original, and for an animated feature, perhaps Toy Story 2 is the first of its kind that didn't end up going direct to video. I'm unsure why I hadn't caught this in the theatres, given that I've thoroughly enjoyed the first Toy Story. I've taken 7 years to finally watch this gem, and of course, to include myself into the legions of Pixar fans out there who have watched every single animated feature they produced.",10,2006
"Toy Story 2 (1999): Dir: John Lasseter, Ash Brennon, Colin Brody / Voices: Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammar, Wayne Knight: Wonderful sequel that is even better than the first landmark film. It flourishes with originality and detail. Woody the cowboy doll and Space Ranger Buzz Lightyear return as the central toys. Woody anticipates Cowboy Camp with his owner Andy but a tear in his shoulder has him left on the shelf. A sudden yard sale calls for the rescue of another toy but in the process he is nabbed by greedy Al of Al's Toy Barn. We learn that Woody was part of the Roundup Gang, which was a canceled T.V. show. He is united with Bulls-eye the horse, prospector Stinky Pete and Jessica the high spirited female counterpart to Woody. During the search and rescue Buzz encounters another Buzz Lightyear as well as his arch enemy. John Lasseter returns as director accompanied by Ash Brannon and Colin Brody. Tom Hanks and Tim Allen return to voice Woody and Buzz. Joan Cusack steals scenes voicing Jessica whose musical segment involving her past is perhaps the most heartfelt moment in the film. Kelsey Grammar voices Stinky Pete who is contained in a box. Wayne Knight is hysterical as the human villain Al from Al's Toy Barn. One of the best sequels one could ask for. It is an animated joy ride about heritage and friendship. Score: 9 / 10",9,2016
"Normally I really do not like Disney Films, there is something about them that I just don't trust, but I quite enjoyed Toy Story. To me, there seems to be something hidden in Disney movies, and there is just this aura of sickness that surrounds them. Some kids movies I think are fine, but in regards to Disney movies and children, I feel that there is a lot of bad influence coming from them.",7,2013
"""Toy Story 2"" was considered a rare sequel that actually managed to meet the expectations set from the original film. Not only that, but many critics seem to think that it's also better than the first. Here's what I have to say in response to these two statements. While I definitely agree that ""Toy Story 2"" meets the expectations of the original, I wouldn't go so far as to consider it better than the original 1995 landmark animated feature. That being said, there are plenty of special things about ""Toy Story 2"" that make it the kind of sequel you'll rarely come across every day. ",9,2013
"Every hour we spent together, lives within my heart. Woody and the gang are back in one of the best sequels ever made: Pixar's Toy Story 2. Here's something interesting. This film was originally a direct to video movie. But while in the process of making it, they realized how good it was turning out and decided to make it an theatrical movie. Thank Goodness, Pixar saw something in it, rather than continue the Disney's awful sequels cycle. The Pixar folks didn't want ""drop"" everything for the direct-to-video version. They make a brand-new story for the theatrical release because they wanted to; there was pressure from Disney to do a direct to video due to save money. The Pixar folks were sensing impending doom because they didn't know what to do, and as a last resort John Lasseter was called in from his long overdue vacation to fix the movie in time for its release. The process was rushed, messy, and nerve-wracking. But by God did it all pay off in the end!! Who knew that Toy Story 2 would partially lead to Disney's fall out with Pixar a few years later. Anyways the idea for the opening of this film was the original idea for the opening of Toy Story, only instead of a video game, it's a TV show. But the makers decided to scrap that idea and open the movie with play action with Andy, because they wanted to establish the bond between Andy and Woody in Toy story. Then when they made Toy story 2, they decided to bring back that idea only make it a video game. Still, that one impression video game for an early 2000's video game. My N64 and Playstation couldn't even be that good. The toys in Andy's room has just witness Woody (Tom Hanks) getting stolen by toy collector Al (Wayne Knight). Now Buzz Lightyear (Tim Allen) must sent a rescue mission to save him. While at the same time at Al's penthouse, Woody finds out how much he is value, and thinks about being display in a toy museum along with Woody's Roundup pals Jessie (Joan Cusack) and Stinky Pete (Kelsey Grammar). The reasons is that, he knows deep inside of him that Andy will grow up one day and forget about him. The dilemma that Woody has, is a good dilemma and makes sense. In a way, foreshadowing Toy Story 3 so rather than being forgotten, he along with his new friends can be loved forever if he takes this chance with the museum in Japan. In the movie we get all the old characters of the first movie, Mr. Potato Head (Don Rickles), Hamm (John Ratzenberger), Rex (Wallace Shawn), and Slinky Dog (Jim Varney in his last movie) as well as new characters such as Bulleye, and Weezy. I don't like how they forced feed us, Weezy. His character really came out of nowhere. Where was he in the original movie? Also check out, the scene was when Woody was being fixed up by the toy repairman, you might notice the toy repairman from the short film, Pixar's Geri's Game. The acting was pretty good, but Joan Cusack can be a bit annoying with her character. The story was well-written. The dramatic and emotional feel of the film has gotten better. The highlight back-story of Jesse just put you into tears, and that whole montage is told by one of the best songs in Disney's history. ""When somebody love me"" sung by Sarah McLachlan. I might not be a huge Randy Newman's fan, but the song works here. The humors works and I like how the film mocks old films and TV Shows like Star Wars and Howdy Dowdy. Pop culture references allow adults to get some jokes that kids might miss, but the kids will have a blast watching this animated adventure. This movie is more plot-oriented than the first--which kids will love and is hence more fun. The visuals are break taking and the action is challenging to the eyes. I actually really liked the ""secret"" villain. I certainly didn't see it coming the first time I saw the movie, and I thought his motivation made sense, and kinda made me feel sorry for him. The fact that he never been loved and played with gave him a very different psychology from the other toys. The museum would be the closest thing to love he felt he'd ever have, so of course he's going to do anything for that, and isn't going to have much sympathy for Woody wanting to return to Andy. This movie isn't for toddlers. Let me get that straight for any first time parent. Its better off, when the child has mature enough aged to the point where it's can be deemed right to watch due to the large noises, large yelling and visual effects that can hurt a toddler's eyes. It's PG rating, people, not G. I really can't find much that was wrong with this film. It's just a great watch. So check it out if you haven't watch it already.",8,2013
"Despite the baby who screamed in back of me for the entire ""Toy Story 2"" (so much for picking an evening showing to try and avoid that), I adored this follow-up.",9,2005
"All I can say is, the Hollywood convention for naming sequels is unfortunate.  You don't see so many numerals in literature.  What would have happened if `The Lord of the Rings' had been called `The Hobbit 2'?  No-one would have taken it seriously.  If only someone could have found an alternate name for `Toy Story 2', I wouldn't have such a hard time convincing people that it's the second film that's the real triumph - the delightful masterpiece `Toy Story' was trying to be.",9,1999
"Cruel Intentions was my favorite movie when I was 14, to me it was everything I just wanted to be as a teen, despite how cruel and manipulative Katheryn was, I thought she was the coolest and strongest female character I'd ever seen on film. Now a couple years afterwards I read the book and saw the original Dangerous Liasons with John Malkovich and Glenn Close, I still very much enjoy Cruel Intentions. Like I said, this was just a terrific updated version of the ultimate story of love and betrayal, it was a little Dawson's Creek at times, but from what angle they went at, it was understandable. It had the biggest stars: Sarah Michelle Gellar, Ryan Phillipe, Reese Withersppon, Tara Reid, Joshua Jackson, and Selma Blair. May I say they gave extremely impressive performances, but the best without a doubt goes to Sarah Michelle Gellar, she was just ultimately brilliant as Kathryn Muertiel, the cruelist girl in school who's goal isn't to be the most popular, but to dominate everyone's innocence.",9,2001
"This movie gives a sexy, sensual twist to the stereotypical ""teen flick."" It communicates a new idea of sexuality amongst present-day teenagers, rather than the ""bang her and leave her"" mentality that is most commonly portrayed. I think the cast was very well chosen, and the dynamics of the cast were amazing. There weren't too many ""no names"" or ""B list"" actors, but on the other hand there weren't too many ""A listers,"" which would have thrown the focus off the plot. The music used in the movie was perfect because it accentuated the tone of the movie. ",10,2004
"I found this movie to be one of a kind, it was a lot better than I originally thought it would be, the name didn't make the movie sound too good, but after watching the movie I thought it was excellent. I found Reese Witherspoon's performance in this movie to be outstanding, I think SHE was the person who made the movie what it was. ",10,2004
"Cruel Intentions is the perfect romantic drama. This fruit did not fall far from the Romeo & Juliet tree. Romance, love, plots, and drama are all turned modern and splendidly rendered. Add to that a great soundtrack, beautiful shots, tension, hot eroticism, sex, and you get the perfect mix for that type of flick.",10,2012
"Cruel Intentions(1999) is a tame and lousy movie that never retains the sense of tragedy found in the Stephen Frears version of Dangerous Liaisons. It was a stupid idea to set it among high school teens(rich teens) because the characters in the film are angels compared to the French Aristocrats of the late 18th Century who were the most ruthless, extremely decandent and evil human beings around.  What I find amazing is that there are many people who are unaware that the first version of Dangerous Liaisons was done in 1960 by Roger Vadim with Jeanne Moreau with the setting similar to this film except with married adults involved.  The characters in the movie behaved like bad little children instead of the evil jerks that aristocrats were. This film is the worst version of the novel that its based on.",1,2000
"I am shocked that this movie is rated as highly as it is. It was offensive without being titillating, and gave little satisfaction for watching it in the end. Reece Witherspoon's character was never developed in the script so that you care what happens to her. Ryan Philippe's character is filled with bravado, but little else. Sarah Gellar's character is the only interesting one, and she seems to be a caricature. There is a surprising ending, but it is not much of a surprise. The technicals of the film are mostly fine--good lighting, interesting scenery outside and rich appointments inside. The sound was a bit difficult to hear on the VHS copy I saw. All in all, a waste of talent and time.",1,2011
"I saw this on video with a friend who had purchased the used copy from an ugly, awful chain video store.",1,2000
this movie had to be the worst film i have ever seen in my life.,1,2000
"Well, one thing for sure is that the previous three versions of Dangerous Liaisons have nothing to fear from this latest remake. After leaving the theatre I was hard-pressed to decide what the worst part of the film was. The cast are barely passable to pathetic, especially Ryan (54) Phillippe. The writing and direction turn the first half into an attempt to shock with repeated double entendres and sexual innuendo. It wants to be soft-core porn. And the second half is simply teenage soap opera played out so cheesily that it almost seems like a satire of itself - but don't give the filmmaker that much credit. In the end it was stupifyingly bad, an insult even to the younger teen audience to which it is obviously targeted.",1,1999
"CRUEL INTENTIONS, in my opinion, is an excellent teen flick which will have you feeling good from start to finish. When Dr. Greenbaum (Swoosie Kurtz) pounded on her office window and yelled at Sebastian (Ryan Phillippe) after Marci (Tara Reid) called her in tears, I really felt good. To me, the performances were top grade, the direction was flawless, the costumes were perfectly designed, and the set was nice. Also, the scenes with Kathryn (Sarah Michelle Gellar) were excellent, too. Now, in conclusion, I highly recommend this excellent teen flick which will have you feeling good from start to finish to any Sarah Michelle Gellar, Ryan Phillippe, or Reese Witherspoon fan who hasn't seen it. You're in for a good time, so go to the video store, rent it or buy it, kick back with a friend, and watch it.",10,2005
"Did the world need a teen version of ""Les Liaisons Dangereuses""? Writer-director Kumble's screenplay is atrocious, veering from convoluted to mildly interesting to boring to ludicrous. Phillippe and Gellar look like little kids trying to play grown-up roles while the grown-ups (Fletcher, Kurtz, Baranski) simply look embarrassed. All the characters are uninteresting and one-dimensional. The dialog is so bad at times that it appears that Kumble is doing a spoof of the de Laclos novel except that any humor is purely unintentional. Phillippe's character is supposed to be a misguided and tragic hero or something but comes across as a confused and spoiled brat.",3,2007
"A few friends and I went to see ""Cruel Intentions"" when it first came out in the theatres. I had absolutely no idea what it was about, nor what to expect. Let's just say I left the theatre in a disappointed mood. The movie is shrouded with poor acting, a stupid plot, and nothing but cheap sex thrills for teenagers to swallow up. I myself am a teenager and found the movie to not only be disgusting, but a waste of time and money. I'm glad I'll never have to see this movie ever again.",1,1999
"""Cruel Intentions"" is something a sadistic look at other people through the eyes of two spoiled university brats. They view others as mere objects that are insignificant unless they are of some use or entertainment. Sarah Michelle Gellar plays Kathryn Merteuil, her university's class president. She conveys a public image of sunshine and roses but behind closed doors carries out actions not better than a sociopathic slut. Her step-brother, Sebastian Valmont (Ryan Phillippe) is of equal footing, living the life of a playboy whose ambitions favor the seduction of innocent young girls.",6,2005
"I saw this movie on the weekend expecting it to be good. I was pretty disappointed because it was really, really, bad. Not only did its ""f**k as many people as you can and you're cool"" morals annoy me (the two normal people in the film who did not screw everyone they could, were portrayed as not as cool as the two slutty people), but the acting and plot line were terrible as well. The plot was really thin especially at the end when Ryan Phillipe and Reese Witherspoon were supposed to fall in love and then you were supposed to feel sorry for him (what was that?). Anyway I suggest save your money and go see a good movie or if you must see it at least wait until it comes out on video.",1,1999
"Cruel Intentions is seriously a movie that gives me the chills, every time I watch it. Its bold, its daring, and downright chilling. The main thing I dug about Cruel Intentions, was the relationships, and the manipulation for there own benefits. Sebastian is used to getting his own way, he uses woman to sleep with them, and manipulates people for the hell of it, along with his sister Kathryn. What we don't know at the start of the movie, is how Sebastian has been affected by Kathryn. Then comes along Annette, who Sebastian figures will be his little toy, his own personal trophy so to speak. As much as I loved the relationship between Kathryn and Sebastian, I adored the one between Annette and Sebastian even more. We see this arrogant young charmer, who loves to mess people up, and as the movie progresses, we see the real him start to come out, thanks to Annette. Sebastian isn't used to fun, he's not used to genuine laughter, other than the laughter he got for his own amusement, and Annette gave that all to him.",9,2010
"How and why writer-director Roger Kumble brought to the screen this modern version of Stephen Frears' classic ""Dangerous Liasons"" (itself derived from an 18th century French novel via a stage play) is an interesting question. He was never going to improve on it, perhaps he just wanted to bring a classic tale to a wider audience. The darkly comic edge to the sexual decadence and idle cruelty of the privileged and bored is well honed but the overall effect is at times awkward. Making the characters a generation younger leaves the impression of watching the cast of ""The O.C."" reciting Moliere. The tale may (theoretically) be timeless but the characters don't translate entirely believably in to the modern world. The most entertaining performance is by Ryan Phillipe and it may be significant that he's almost parodying John Malkovich's Comte de Valmont from Frears' 1989 film. At the other end of the scale is Selma Blair who, when told her character is ""naive"", seems to have heard ""border-line retarded"". Ultimately ""Cruel Intentions"" is glossy, beautiful, and mannered, but a little shallow. and the ending (not helped by Sarah Michelle Gellar lacking the necessary dramatic heft for such a grand villain as Merteuil) is botched and insubstantial. Make what you will of the fact it spawned two sequels.",6,2007
"As far as really really good movies I've had the fortune of seeing recently the one that really stands out is a overlooked movie that came out last year called ""The Virgin Suicides."" The movie while one of the more depressing movies in recent memories is just brilliantly directed by first time director Sofia Coppola (it was also her first screenplay - quite impressive indeed). I thought you know going into this movie A) I'm a guy and B) depressing movies just sometimes make it really really tough for me to like the movie they have those endings where its like you emotionally feel like you have just fallen off a cliff... yet despite A) and B) I was very moved by this movie... the directing, cinematography, acting, music - all work extremely well hand in hand complementing each other. This movie will make you even more so want to enjoy every second and moment with those rare & special people you meet on the roads of life.",9,2001
"I had been meaning to see The Virgin Suicides since I first heard it was being released to film, based on its 1993 book by Jeffrey Eugenides. I never got around to it until the other night when I rented it on video.",10,2001
"A strange, surreal flight-of-fancy of death and love, remembrance and how romanticized our memories become. It's also very funny, tending to mix the black comedy of something like ""Heathers"" with the stifling suburban scenario of ""American Beauty"" (but it's better than both). Kirsten Dunst is fantastic as the foxiest of five golden-toned sisters in the mid-'70s who feel trapped by their parents (a peculiar, but not overly monstrous couple), trapped by their feelings, trapped by time. They can breathe--and live freely--only in their fantasies (and perhaps in death), but do their realities represent a prison? It's the talent of writer-director Sofia Coppola not to push everything over-the-top; she's careful, she leaves the viewer contemplating the characters' motivations and actions. The situation is indeed unexplainable, yet it is in our nature to expect a resolution, to expect concrete evidence as to WHY and demand an answer. Yet there are no answers to the sadness of the strangers who live across the street, even as we pass through their lives and through their houses. ""The Virgin Suicides"" offers fascinating food for thought. *** from ****",7,2001
"Sofia Coppola's film is an adaptation of Jeffrey Eugenides excellent novel of the same name. It is a beautiful, visually stunning movie, but it fails to capture the book's spirit.",7,2011
"I expected more from ''The Virgin Suicides''. This movie is told to be so good and even having a big name as Sofia Coppola helped me to have a big interest in watching it. But I found it a little bit boring, and also without a purpose: Okay, the girls committed suicide because they hated the life they were having with their horrible mother (Kathleen Turner) and called the boys because they wanted them to be witnesses of their suicide. And? I really lacked some reality in this movie. Not only from the parent's isolation from the world(come on,any teenager I know would try to escape from that horrible parents,me included) but some scenes after the Lisbon's girls died are so out of place, like the party where people uses gas masks.",6,2006
"I've searched for this movie more than two years, cause I've read the book and I do love it. It's one of the most beautiful stories about teenagers that had ever been written. The suicides of these five beautiful girls aren't to be taken seriously, it's a metaphor the author uses. He wants so write about the strange and often really terrible feelings teenagers have. And Sofia Coppola created an atmosphere I can't describe. Just as a light wind on a hot summer day, if you know what I mean. She's really one of the greatest young directors (especially female) of our time. ""Lost in Translation"" is a masterpiece as well. The actors were good, Kirsten Dunst is such a great actress, she should do more movies like ""The Virgin Suicides"", where she really has to act. Josh Harnett is wonderful as Trip and the girls who play Therese, Mary, Bonnie and Cecilia, are great discoveries. If you like films with depth, films you have to think about, this one here is remarkable for you. Please, watch it and immerse in the world of the Lisbon girls and the boys next door.",9,2005
"I've never read the book, so I don't know how different this is. The only thing I know is that this adaptation by Sophia Coppola is fantastic.",9,2004
"""Virgin Suicides"" is a movie by Sofia Coppola that talks about the Lisbon family. A group of boys, who adored them, come together after 20 years and try to solve the mystery of the Lisbon sisters. ",10,2004
"I can't believe it, that I actually sat through this crappy film, constantly hitting display on the good ol' DVD remote to see how much longer was left. And, while the movie only runs 97 minutes (including credits), it sure felt like an eternity!!! Hanna Hall plays Cecilia Lisbon, the youngest of the five Lisbon daughters, and is the first to off herself, even though it takes a second attempt before she succeeds, mind you. At first she tries in the tub with a razor, but that doesn't work. She goes to see a shrink (Danny Devito) who tells her parents (James Woods and Kathleen Turner, who seems to be lost in this role) that he thinks Cecilia just did it for attention. The parents decide to have a little get together for the girls in their basement and invite some of the neighborhood boys over. Cecilia doesn't seem like she is having fun so she excuses herself and makes her way upstairs. A little while later, a noise is heard and Mrs. Lisbon (Kathleen Turner) and the rest of her daughters and the boys make their way upstairs and out the front door, where Mr. Lisbon (James Woods) is holding Cecilia, who is draped over a fence, the spike in her back. She jumped out of the bedroom window and succeeded in offing herself this time. I found the acting by Kathleen Turner in this part to be just down right pathetic.",3,2007
Warning: does contain spoilers,1,2000
